gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,Team,Year
82,39,35,8,86,52.4,2.549,2.683,0.8408,16.3,42,34,258,85,30.7439,30.8171,0.617,0.286,0.714,0.935,0.425,0.537,4818,2307,2511,47.9,8.3,0.913,Arizona Coyotes,2019
70,33,29,8,74,52.9,2.714,2.614,1.0236,19.2,41,34,214,82.7,31.7143,32.4286,0.667,0.265,0.692,0.815,0.452,0.5,3982,1956,2026,49.1,8.6,0.919,Arizona Coyotes,2020
56,24,26,6,54,48.2,2.679,3.107,0.8696,20.8,37,32,178,80.8,27.4643,30.4643,0.609,0.303,0.615,0.857,0.4,0.441,3108,1525,1583,49.1,9.8,0.898,Arizona Coyotes,2021
82,51,24,7,109,66.5,3.268,2.744,1.121,21,52,44,248,81.4,32.7561,30.7439,0.829,0.415,0.75,0.861,0.688,0.517,4987,2439,2548,48.9,10,0.911,Vegas Golden Knights,2018
82,43,32,7,93,56.7,3,2.78,1.0741,16.8,39,44,232,80.9,34.3171,29.2561,0.643,0.4,0.69,0.903,0.585,0.423,4923,2481,2442,50.4,8.7,0.905,Vegas Golden Knights,2019
71,39,24,8,86,60.6,3.155,2.944,1.0417,22,42,50,191,76.6,34.507,29.3239,0.765,0.351,0.76,0.886,0.596,0.55,4205,2103,2102,50,9.1,0.9,Vegas Golden Knights,2020
56,40,14,2,82,73.2,3.393,2.179,1.3776,17.8,31,19,174,86.8,32.6607,27.2679,0.861,0.45,0.846,0.931,0.769,0.667,3102,1536,1566,49.5,10.4,0.92,Vegas Golden Knights,2021
82,37.5,29.5,4,90,54.9,2.7985,2.7255,1.00345,16.25,65,60.5,374.5,83.85,27.58535,27.1037,0.659,0.253,0.6965,0.845,0.466,0.4,5389,2663,2672.5,49.95,9.8,0.901,League Median,2001
82,37,28,4,91.5,55.8,2.616,2.543,1.00345,15.4,54,51.5,346.5,85.1,27.82925,26.7744,0.6285,0.2765,0.7215,0.831,0.459,0.469,5357.5,2678.5,2664,50.25,9.5,0.902,League Median,2002
82,36,30,5.5,89.5,54.55,2.604,2.689,1.01345,16.15,58,60.5,359.5,83.4,28.39635,28.3232,0.584,0.284,0.6785,0.812,0.4485,0.429,5300,2663.5,2661.5,50.15,9.25,0.907,League Median,2003
82,38.5,29,4,91,55.5,2.543,2.4515,1.0821,16.5,55.5,55,338.5,84.15,28.4939,27.5854,0.6145,0.262,0.704,0.818,0.515,0.395,5341.5,2637.5,2620,50.1,9.45,0.908,League Median,2004
82,42.5,30.5,9,94,57.3,3.0185,3.061,0.99675,18.05,87,82,479,82.25,29.95125,29.9939,0.658,0.3415,0.748,0.846,0.552,0.466,4976.5,2491.5,2488.5,50,10.2,0.8975,League Median,2006
82,42.5,30.5,9,93.5,57,2.921,2.9515,1.0467,17.8,71,67.5,401,82.95,29.40245,29.2683,0.69,0.343,0.7425,0.8375,0.5425,0.4725,4769.5,2356,2404,49.85,9.45,0.905,League Median,2007
82,42,31,9,94,57.3,2.744,2.7075,1.04995,17.7,60.5,63.5,355,82.55,28.7866,28.73785,0.691,0.305,0.77,0.877,0.506,0.474,4621,2321,2324,50,9.4,0.9055,League Median,2008
82,41,30.5,10,92.5,56.4,2.89,2.805,1.00995,18.85,66,64,344.5,81.65,29.59145,29.58535,0.6845,0.3255,0.769,0.8575,0.5285,0.4795,4693,2358,2326,50.5,9.5,0.906,League Median,2009
82,40,32,10,90,54.9,2.677,2.7375,0.9807,18.15,56,58,307.5,82,30.06705,30.01825,0.6665,0.3295,0.736,0.845,0.4745,0.4945,4663,2320.5,2345,49.55,9,0.909,League Median,2010
82,43.5,30,10.5,95.5,58.2,2.738,2.768,1.0165,17.5,52,51,291,82.8,30.4512,30.5732,0.695,0.318,0.75,0.868,0.5,0.5465,4748,2396.5,2373.5,50.45,9.1,0.911,League Median,2011
82,41,30,10,92,56.1,2.6095,2.659,0.97775,17.15,46,49,270,82.05,29.53045,30.14635,0.683,0.329,0.7735,0.855,0.5,0.5105,4740.5,2368.5,2363.5,50.25,8.95,0.9105,League Median,2012
48,24,18,5,55,57.3,2.625,2.604,1.0244,18.4,29,28,163,81.1,28.9375,28.9583,0.696,0.296,0.75,0.857,0.538,0.483,2846,1420,1410,50,9.1,0.905,League Median,2013
82,40,30,9,93,56.7,2.671,2.634,0.9855,17.9,48,48,271,82.1,29.9268,29.4146,0.697,0.308,0.75,0.857,0.5,0.52,4907,2487,2479,50,9,0.913,League Median,2014
82,43,28,10,97.5,59.45,2.726,2.5855,1.0391,18.75,46,46.5,247,80.95,29.9451,29.63415,0.6825,0.3205,0.746,0.836,0.5245,0.511,5017.5,2526,2485,49.8,8.9,0.911,League Median,2015
